Sentence #,Word,POS,Tag
Sentence: 1,She,PRP,O
,suspects,VBZ,O
,sugar,NN,O
,dust,NN,O
,",",",",O
,which,WDT,O
,can,MD,O
,be,VB,O
,volatile,JJ,O
,",",",",O
,may,MD,O
,have,VB,O
,caused,VBN,O
,the,DT,O
,blast,NN,O
,.,.,O
Sentence: 2,About,IN,O
,14,CD,O
,workers,NNS,O
,were,VBD,O
,inside,IN,O
,the,DT,O
,refinery,NN,O
,at,IN,O
,the,DT,O
,time,NN,O
,of,IN,O
,the,DT,O
,blast,NN,O
,.,.,O
Sentence: 3,United,NNP,B-org
,Nations,NNPS,I-org
,agencies,NNS,O
,are,VBP,O
,appealing,VBG,O
,for,IN,O
,immediate,JJ,O
,assistance,NN,O
,to,TO,O
,communities,NNS,O
,on,IN,O
,the,DT,O
,West,JJ,B-gpe
,coast,NN,O
,affected,VBN,O
,by,IN,O
,South,NNP,B-geo
,Asia,NNP,I-geo
,'s,POS,O
,earthquake-generated,JJ,O
,tsunami,NN,O
,.,.,O
Sentence: 4,The,DT,O
,appeal,NN,O
,was,VBD,O
,issued,VBN,O
,Friday,NNP,B-tim
,by,IN,O
,the,DT,O
,U.N.,NNP,B-org
,Office,NNP,I-org
,for,IN,O
,the,DT,O
,Coordination,NN,B-org
,of,IN,I-org
,Humanitarian,NNP,I-org
,Affairs,NNP,I-org
,",",",",O
,which,WDT,O
,took,VBD,O
,part,NN,O
,in,IN,O
,an,DT,O
,aerial,JJ,O
,assessment,NN,O
,of,IN,O
,the,DT,O
,affected,JJ,O
,areas,NNS,O
,in,IN,O
,northern,JJ,O
,Somalia,NNP,B-geo
,.,.,O
Sentence: 5,Meanwhile,RB,O
,",",",",O
,the,DT,O
,number,NN,O
,of,IN,O
,dead,JJ,O
,in,IN,O
,Somalia,NNP,B-geo
,has,VBZ,O
,climbed,VBN,O
,to,TO,O
,at,IN,O
,least,JJS,O
,132,CD,O
,people,NNS,O
,",",",",O
,although,IN,O
,the,DT,O
,Associated,NNP,B-org
,Press,NNP,I-org
,quotes,VBZ,O
,a,DT,O
,senior,JJ,O
,Somali,JJ,B-gpe
,official,NN,O
,as,IN,O
,putting,VBG,O
,the,DT,O
,number,NN,O
,at,IN,O
,200,CD,O
,.,.,O
Sentence: 6,Many,JJ,O
,others,NNS,O
,remain,VBP,O
,missing,JJ,O
,.,.,O
Sentence: 7,The,DT,O
,United,NNP,B-org
,Nations,NNP,I-org
,says,VBZ,O
,it,PRP,O
,is,VBZ,O
,difficult,JJ,O
,to,TO,O
,get,VB,O
,a,DT,O
,clear,JJ,O
,picture,NN,O
,of,IN,O
,both,DT,O
,the,DT,O
,number,NN,O
,of,IN,O
,those,DT,O
,killed,VBN,O
,and,CC,O
,the,DT,O
,extent,NN,O
,of,IN,O
,the,DT,O
,damage,NN,O
,because,IN,O
,the,DT,O
,region,NN,O
,is,VBZ,O
,remote,JJ,O
,and,CC,O
,the,DT,O
,conditions,NNS,O
,are,VBP,O
,harsh,JJ,O
,.,.,O
Sentence: 8,The,DT,O
,U.N.,NNP,B-org
,World,NNP,I-org
,Food,NNP,I-org
,Program,NNP,I-org
,began,VBD,O
,distributing,VBG,O
,relief,NN,O
,supplies,NNS,O
,Wednesday,NNP,B-tim
,in,IN,O
,the,DT,O
,town,NN,O
,of,IN,O
,Hafun,NNP,B-geo
,on,IN,O
,the,DT,O
,northern,JJ,O
,coast,NN,O
,of,IN,O
,Somalia,NNP,B-geo
,.,.,O
Sentence: 9,The,DT,O
,tsunami,NN,O
,also,RB,O
,took,VBD,O
,lives,NNS,O
,in,IN,O
,Tanzania,NNP,B-geo
,",",",",O
,Seychelles,NNP,B-geo
,and,CC,O
,Kenya,NNP,B-geo
,.,.,O
Sentence: 10,Olympic,JJ,O
,champion,NN,O
,Philipp,NNP,B-per
,Schoch,NNP,I-per
,of,IN,O
,Switzerland,NNP,B-geo
,and,CC,O
,compatriot,NN,O
,Ursula,NNP,B-per
,Bruhin,NNP,I-per
,have,VBP,O
,won,VBN,O
,World,NNP,O
,Cup,NNP,O
,parallel,NN,O
,giant,NN,O
,slalom,NN,O
,snowboard,VBD,O
,events,NNS,O
,in,IN,O
,Le,NNP,B-geo
,Relais,NNP,I-geo
,",",",",O
,Canada,NNP,B-geo
,.,.,O